acl_key,year,c3_hit,title
liu-etal-2026-tailored,2026,yes,Tailored Emotional {LLM}-Supporter: Enhancing Cultural Sensitivity
lia-roy-dipta-2026-cross,2026,yes,"Cross-Lingual Sentiment Misalignment: Auditing Multilingual Language Models for Inversion Risk, Dialectal Representation, and Affective Stability"
li-etal-2026-recap,2026,yes,{RECAP}: Resistance Capture in Text-based Mental Health Counseling with Large Language Models
li-etal-2026-community,2026,no,Community-Aware Assessment of Social Textual Engagement and Resonance: A Human-Centric Perspective on User-Generated Content Evaluation
li-etal-2026-cflowpsyd,2026,yes,{CF}low{P}sy{D}: An Analysis-Enhanced Dataset for Asynchronous Psychological Counseling through Self-Optimizing Multi-Agent Framework
lee-etal-2026-mhsafeeval,2026,yes,{MHS}afe{E}val: Role-Aware Interaction-Level Evaluation of Mental Health Safety in Large Language Models
lai-etal-2026-synthesis,2026,yes,From Synthesis to Clinical Assistance: A Strategy-Aware Agent Framework for Autism Intervention based on Real Clinical Dataset
kumaresan-etal-2026-findings,2026,no,Findings of Shared Task on Counter Narrative Generation on Homophobic and Transphobic Comments
kim-etal-2026-phasemi,2026,yes,{P}hase{MI}: A Motivational Interviewing Dataset for Enhancing Phase Progression in {LLM}-based Counseling
kim-etal-2026-open,2026,no,Open Your Model{'}s Eyes: Video and Context-Aware Multimodal Backchannel Prediction
kim-etal-2026-multi-view,2026,yes,Multi-View Attention Multiple-Instance Learning Enhanced by {LLM} Reasoning for Cognitive Distortion Detection
kim-etal-2026-kind,2026,yes,Being Kind Isn{'}t Always Being Safe: Diagnosing Affective Hallucination in {LLM}s
ji-etal-2026-stride,2026,yes,{STRIDE}-{ED}: A Strategy-Grounded Stepwise Reasoning Framework for Empathetic Dialogue Systems
ikegami-etal-2026-dialogue,2026,no,A Dialogue Agent to Let Users Experience and Gently Enhance the ``Gyaru-Mind''
huang-etal-2026-zzucs,2026,no,zzucs at {P}sy{D}ef{D}etect: Bridging Long-Tail Imbalance and Clinical Rubrics for {DMRS} Defense-Level Detection
hsu-etal-2026-beyond,2026,yes,Beyond Evidence: Belief-Chain Conditioning for Persuasive Misinformation Debunking Explanation
hong-etal-2026-freezeempath,2026,yes,{F}reeze{E}mpath: Efficient Training for Empathetic Spoken Chatbots with Frozen {LLM}s
hoang-etal-2026-llms,2026,yes,{LLM}s as Standardised Patients for Motivational Interviewing: How Faithful Are They?
heo-etal-2026-stress,2026,yes,Stress-Testing Emotional Support Models: Moving from Homogeneous to Diverse Help Seekers
hazel-etal-2026-empathy,2026,yes,Empathy as interactional accomplishment in clinical interactions with a conversational agent
hasan-etal-2026-enhancing,2026,yes,Enhancing Mental Health Counseling Support in {B}angladesh using Culturally-grounded Knowledge
guo-etal-2026-emos,2026,yes,{E}mo{S}: A High-Fidelity Multimodal Benchmark for Fine-grained Streaming Emotional Understanding
gong-etal-2026-theory,2026,yes,Does Theory of Mind Improvement Really Benefit Human-{AI} Interactions? Empirical Findings from Interactive Evaluations
gligorovic-etal-2026-howd,2026,no,``How{'}d You Type That So Fast?'' A Descriptive Analysis of Counselor Message Text Reuse in Text-Based Crisis Counseling
garg-etal-2026-designing,2026,yes,Designing Structured Conversational Support for Tuberculosis Treatment Adherence and Patient Coping
gao-etal-2026-es4r,2026,yes,{ES}4{R}: Speech Encoding Based on Prepositive Affective Modeling for Empathetic Response Generation
galat-rizoiu-2026-uts,2026,no,{UTS} at {P}sy{D}ef{D}etect: Multi-Agent Councils and Absence-Based Reasoning for Defense Mechanism Classification
fu-etal-2026-enpmr,2026,yes,{ENPMR}-Bench: Benchmarking Proactive Memory Retrieval for Emotional Support Agents
feng-etal-2026-psychain,2026,no,{P}sy{C}hain: A Collaborative Chain-of-Agents Framework for Generating Personalized and Professional Counseling Dialogues
deng-etal-2026-ethicmind,2026,yes,{E}thic{M}ind: A Risk-Aware Framework for Ethical-Emotional Alignment in Multi-Turn Dialogue
deng-etal-2026-cogemp,2026,yes,{C}og{E}mp:A Cognitive Empathy-Oriented Dialogue System for Structured Psychological Counseling
demeocq-etal-2026-attachment,2026,yes,The Attachment Index: Auditing Attachment Language Cues and Relational Safety Risks in Human-{LLM} Dialogue
dai-etal-2026-psyche,2026,yes,"Psyche-R1: Towards Reliable Psychological {LLM}s through Unified Empathy, Expertise, and Reasoning"
cui-etal-2026-measuring,2026,yes,Measuring the quality of therapy sessions against assessment scales using augmented semantic-similarity approaches
chu-etal-2026-beyond,2026,no,Beyond Semantic Similarity: Appraisal-Guided Chain-of-Thought Reasoning and Retrieval for Multimodal Emotional Support Conversations
chen-etal-2026-psychepass,2026,yes,{P}syche{P}ass: Calibrating {LLM} Therapeutic Competence via Trajectory-Anchored Tournaments
campione-etal-2026-language,2026,yes,Language-Based Detection of Adherence to Evidence-Based Psychotherapy Scripts
buyanov-etal-2026-psytechlab,2026,yes,psytechlab at {CLP}sych 2026: Utilising Natural Language Processing methods and Large Language Models for Social Media Text Analysis
badawi-etal-2026-trust,2026,yes,When Can We Trust {LLM}s in Mental Health? Large-Scale Benchmarks for Reliable {LLM} Evaluation
arora-etal-2026-value,2026,yes,How Value Induction Reshapes {LLM} Behavior
arnaout-etal-2026-responsible,2026,no,Responsible Evaluation of {AI} for Mental Health
anampiu-2026-aaron,2026,yes,Aaron at {S}em{E}val-2026 Task 9: Multilingual Polarization Detection using Transformer-Based Models with Class Weighting and Threshold Tuning
ajichi-etal-2026-adaptive,2026,yes,Adaptive Multimodal Sentiment Analysis with Stream-Based Active Learning for Spoken Dialogue Systems
aghakhani-rezapour-2026-like,2026,yes,"Like a Therapist, But Not: {R}eddit Narratives of {AI} in Mental Health Contexts"
agarwal-etal-2026-kcl,2026,no,{KCL}-Cogstack at {P}sy{D}ef{D}etect: A Hierarchical Approach to Detecting Defense Mechanisms in Supportive Dialogue
zhu-etal-2025-integrating,2025,yes,Integrating Visual Modalities with Large Language Models for Mental Health Support
zhu-etal-2025-ask,2025,yes,Ask Patients with Patience: Enabling {LLM}s for Human-Centric Medical Dialogue with Grounded Reasoning
zhou-etal-2025-crisp,2025,yes,Crisp: Cognitive Restructuring of Negative Thoughts through Multi-turn Supportive Dialogues
zhao-etal-2025-dream,2025,yes,Dream to Chat: Model-based Reinforcement Learning on Dialogues with User Belief Modeling
zhao-etal-2025-chain,2025,yes,Chain of Strategy Optimization Makes Large Language Models Better Emotional Supporter
zhang-etal-2025-intentionesc,2025,yes,{I}ntention{ESC}: An Intention-Centered Framework for Enhancing Emotional Support in Dialogue Systems
zhang-etal-2025-decoupledesc,2025,yes,{D}ecoupled{ESC}: Enhancing Emotional Support Generation via Strategy-Response Decoupled Preference Optimization
zhang-etal-2025-cbt,2025,yes,{CBT}-Bench: Evaluating Large Language Models on Assisting Cognitive Behavior Therapy
zhang-2025-auradial,2025,yes,{A}ura{D}ial: A Large-Scale Human-Centric Dialogue Dataset for {C}hinese {AI} Psychological Counseling
zechariah-etal-2025-patient,2025,yes,Patient-Centric Question Answering- Overview of the Shared Task at the Second Workshop on {NLP} and {AI} for Multilingual and Healthcare Communication
yuan-etal-2025-reflectdiffu,2025,yes,{R}eflect{D}iffu: Reflect between Emotion-intent Contagion and Mimicry for Empathetic Response Generation via a {RL}-Diffusion Framework
ye-etal-2025-sweetiechat,2025,yes,{S}weetie{C}hat: A Strategy-Enhanced Role-playing Framework for Diverse Scenarios Handling Emotional Support Agent
ye-etal-2025-generic,2025,yes,From Generic Empathy to Personalized Emotional Support: A Self-Evolution Framework for User Preference Alignment
yang-etal-2025-consistent,2025,no,Consistent Client Simulation for Motivational Interviewing-based Counseling
yang-etal-2025-cami,2025,yes,{CAMI}: A Counselor Agent Supporting Motivational Interviewing through State Inference and Topic Exploration
yan-zhu-2025-creditllm,2025,yes,{C}redit{LLM}: Constructing Financial {AI} Assistant for Credit Products using Financial {LLM} and Few Data
xu-etal-2025-multiagentesc,2025,yes,{M}ulti{A}gent{ESC}: A {LLM}-based Multi-Agent Collaboration Framework for Emotional Support Conversation
xie-etal-2025-psydt,2025,yes,{P}sy{DT}: Using {LLM}s to Construct the Digital Twin of Psychological Counselor with Personalized Counseling Style for Psychological Counseling
xie-etal-2025-ipet,2025,yes,i{PET}: An Interactive Emotional Companion Dialogue System with {LLM}-Powered Virtual Pet World Simulation
xie-etal-2025-distilling,2025,yes,Distilling Empathy from Large Language Models
wu-etal-2025-traits,2025,yes,From Traits to Empathy: Personality-Aware Multimodal Empathetic Response Generation
wu-etal-2025-personas,2025,yes,From Personas to Talks: Revisiting the Impact of Personas on {LLM}-Synthesized Emotional Support Conversations
wang-etal-2025-sibyl,2025,yes,Sibyl: Empowering Empathetic Dialogue Generation in Large Language Models via Sensible and Visionary Commonsense Inference
wang-etal-2025-opens2s,2025,yes,{O}pen{S}2{S}: Advancing Fully Open-Source End-to-End Empathetic Large Speech Language Model
wang-etal-2025-mileage,2025,yes,Your Mileage May Vary: How Empathy and Demographics Shape Human Preferences in {LLM} Responses
wang-etal-2025-flexible,2025,yes,Flexible Thinking for Multimodal Emotional Support Conversation via Reinforcement Learning
wang-etal-2025-feel,2025,yes,Feel the Difference? A Comparative Analysis of Emotional Arcs in Real and {LLM}-Generated {CBT} Sessions
wang-etal-2025-ecc,2025,yes,"{ECC}: Synergizing Emotion, Cause and Commonsense for Empathetic Dialogue Generation"
wang-etal-2025-convert,2025,yes,Convert Language Model into a Value-based Strategic Planner
wang-etal-2025-computational,2025,no,Computational Linguistic Approach to Empathy and its Language Communication Pattern
wang-etal-2025-benchmarking-contextual,2025,yes,Benchmarking Contextual and Paralinguistic Reasoning in Speech-{LLM}s: A Case Study with In-the-Wild Data
wang-etal-2025-annaagent,2025,yes,{A}nna{A}gent: Dynamic Evolution Agent System with Multi-Session Memory for Realistic Seeker Simulation
wan-etal-2025-emodynamix,2025,yes,{E}mo{D}ynami{X}: Emotional Support Dialogue Strategy Prediction by Modelling {M}i{X}ed Emotions and Discourse Dynamics
tsai-chen-2025-balancing,2025,yes,Balancing Knowledge Delivery and Emotional Comfort in Healthcare Conversational Systems
tripodi-etal-2025-assessing,2025,yes,Assessing effective de-escalation of crisis conversations using transformer-based models and trend statistics
tian-etal-2025-multi,2025,no,Multi-Condition Guided Diffusion Network for Multimodal Emotion Recognition in Conversation
tayal-etal-2025-towards,2025,yes,Towards conversational assistants for health applications: using {C}hat{GPT} to generate conversations about heart failure
takahashi-etal-2025-analyzing,2025,yes,Analyzing Dialogue System Behavior in a Specific Situation Requiring Interpersonal Consideration
sun-etal-2025-rethinking,2025,yes,Rethinking the Alignment of Psychotherapy Dialogue Generation with Motivational Interviewing Strategies
srikanth-etal-2025-mixed,2025,no,Mixed Signals: Understanding Model Disagreement in Multimodal Empathy Detection
soni-etal-2025-evaluation,2025,yes,Evaluation of {LLM}s-based Hidden States as Author Representations for Psychological Human-Centered {NLP} Tasks
shi-etal-2025-beyond,2025,no,Beyond Coarse Labels: Fine-Grained Problem Augmentation and Multi-Dimensional Feedback for Emotional Support Conversation
she-etal-2025-emplifai,2025,yes,{E}mplif{AI}: a Fine-grained Dataset for {J}apanese Empathetic Medical Dialogues in 28 Emotion Labels
shah-etal-2025-tn,2025,yes,{TN}-Eval: Rubric and Evaluation Protocols for Measuring the Quality of Behavioral Therapy Notes
schmidt-etal-2025-cfics,2025,yes,{CF}i{CS}: Graph-Based Classification of Common Factors and Microcounseling Skills
sampath-etal-2025-seer,2025,yes,{SEER}: The Span-based Emotion Evidence Retrieval Benchmark
sahu-etal-2025-leveraging,2025,yes,Leveraging Language Models for Summarizing Mental State Examinations: A Comprehensive Evaluation and Dataset Release
rowe-etal-2025-eurogest,2025,yes,{E}uro{GEST}: Investigating gender stereotypes in multilingual language models
rezayi-etal-2025-automated,2025,no,Automated Scoring of Communication Skills in Physician-Patient Interaction: Balancing Performance and Scalability
reguera-gomez-etal-2025-empathy,2025,yes,Empathy vs Neutrality: {Designing} and Evaluating a Natural Chatbot for the Healthcare Domain
qiu-lan-2025-psydial,2025,yes,{P}sy{D}ial: A Large-scale Long-term Conversational Dataset for Mental Health Support
qiu-etal-2025-deepwell,2025,yes,{D}eep{W}ell-Adol: A Scalable Expert-Based Dialogue Corpus for Adolescent Positive Mental Health and Wellbeing Promotion
qi-etal-2025-reasoning,2025,yes,"Does ``Reasoning'' with Large Language Models Improve Recognizing, Generating and Reframing Unhelpful Thoughts?"
qi-etal-2025-kokorochat,2025,yes,{K}okoro{C}hat: A {J}apanese Psychological Counseling Dialogue Dataset Collected via Role-Playing by Trained Counselors
